python_coding_ability,r_coding_ability,ml_econometrics_confidence,ml_econometrics_interest,customer_topics_interest,ideal_job_pct_time_with_data,ideal_job_pct_time_on_customers,major,minor
20,10,5,10,20,33,10,Business Economics,REEES
33,67,78,81,93,87,84,Business Economics,"Technology, Innovation & Supply Chain"
5,40,35,65,90,25,90,International Business & Business Economics,NA
0,0,0,20,75,50,50,Business Economics,Finance & Supply Chain Management
0,5,60,50,80,35,60,Business Economics,Accounting
90,0,85,100,100,60,40,Data Science & Mathematics/CS,Business Economics
0,50,0,75,100,80,100,Business Economics,NA
70,50,30,80,30,70,40,Business Economics,"Technology, Innovation & Supply Chain"
30,55,65,80,80,82,67,Economics,Business
45,55,60,35,75,35,50,Sociology (Law & Society) & Business Economics,NA
25,50,60,60,80,25,75,Business Economics,NA
50,70,50,50,50,80,50,Business Economics,NA
0,10,10,60,80,40,80,Business Economics & Real Estate,Finance
40,80,80,70,90,20,80,Business Economics,NA
10,10,10,20,70,50,0,Business Economics,Finance
30,40,50,70,60,60,80,Business Economics,NA
0,80,80,60,80,60,95,Business Economics,Accounting
30,35,50,70,80,50,80,Business Economics,Marketing
0,0,30,80,90,65,75,Business Economics,NA
1,5,0,70,100,70,70,Business Economics,NA
0,20,5,90,85,70,95,Business Economics,Finance & Business Analytics
0,50,85,90,100,30,50,Business Economics,NA
0,70,0,100,100,80,90,Business Economics,NA
10,50,50,75,80,50,50,Business Economics,NA
0,20,20,70,65,90,50,Business Economics,Accounting
0,5,0,5,70,80,90,Business Economics,NA
0,10,0,60,70,0,0,Human Biology & Business Economics,NA
0,20,50,100,100,70,70,Business Economics,NA
10,10,15,15,45,35,25,Business Economics,NA
0,60,50,80,75,60,40,Business Economics,NA
50,40,50,50,70,60,70,Business Economics & Cognitive Science,NA
12,15,60,30,60,20,30,Mechanical Engineering & Business Economics,NA
45,50,50,85,70,75,90,Business Economics,Business Analytics
90,90,50,100,100,80,30,Business Economics,Business Analytics
10,10,15,50,40,70,25,Business Economics,NA
50,60,60,70,70,60,50,Business Economics,Finance
0,40,60,75,90,50,0,Business Economics,Accounting
20,10,25,20,30,50,45,Business Economics,Finance & Business Analytics
20,50,70,70,60,50,50,Business Economics,Political Science
0,50,0,100,100,100,80,Business Economics,NA
62,43,60,78,88,60,40,Business Economics,Business Analytics
10,10,40,70,80,70,65,Business Economics,NA
70,70,80,90,80,100,70,Business Economics,Computer Science
50,60,60,70,90,90,90,Business Economics,NA
35,20,10,0,50,20,60,Business Economics,"Technology, Innovation & Supply Chain"
0,30,0,0,0,30,0,Business Economics,NA
20,70,50,70,70,80,30,Business Economics,NA
25,70,56,85,92,87,83,Business Economics,NA
0,67,50,89,99,99,99,Business Economics,Accounting & Finance
0,0,20,10,30,30,30,Business Economics,Real Estate & Development
10,10,10,50,90,20,90,Business Economics,Finance
100,100,100,100,80,100,20,Data Science & Business Economics,Mathematics
40,0,80,100,100,30,80,Business Economics,NA
20,40,30,60,60,50,50,Business Economics,Finance & Supply Chain Management
80,0,75,40,80,90,30,Cognitive Science (ML & Neural Computation),Marketing
70,60,70,70,90,70,60,Business Economics,"Technology, Innovation & Supply Chain"
80,60,50,75,90,100,100,Business Economics,Accounting & Finance
0,40,55,40,100,30,80,Business Economics,NA
0,10,0,50,75,40,80,Business Economics,Marketing
0,55,35,35,80,20,80,Business Economics,Marketing
60,10,80,100,100,100,70,Business Economics,Business Analytics
0,10,30,100,100,80,100,Business Economics,Finance
50,30,40,80,40,75,50,Business Economics & Cognitive Science,Computer Science
20,0,0,70,75,90,90,Business Economics,Accounting & Business Analytics
10,20,20,70,80,30,70,Business Economics,Business Analytics
20,40,30,0,50,10,10,Business Economics,"Technology, Innovation & Supply Chain"
20,40,48,56,70,50,80,Business Economics,Business Psychology
40,70,50,70,80,70,100,Business Economics,Marketing
0,60,60,60,80,80,80,Business Economics,NA
10,15,25,25,75,50,35,Business Economics,Finance
0,50,80,70,80,80,70,Business Economics,NA
45,15,30,30,80,68,40,Business Economics,Business Analytics
0,40,40,70,90,30,80,Business Economics,NA
10,15,50,80,90,40,85,Business Economics,Marketing & Supply Chain
60,60,75,80,90,80,80,Business Economics,Marketing
0,10,20,80,90,75,80,Business Economics,NA
60,50,80,90,80,80,90,Business Economics,Computer Science
30,35,50,80,90,30,70,Business Economics,NA
0,6,60,70,96,50,70,Business Economics,NA
0,30,50,50,75,70,90,Business Economics,NA
0,0,0,0,20,20,20,Business Economics,NA
20,50,80,70,90,100,90,Business Economics,"Technology, Innovation & Supply Chain"
0,0,10,45,70,80,80,Sociology,Marketing
60,75,90,100,90,80,95,Business Economics,NA
80,0,65,70,70,60,40,Data Science,Business Economics
0,0,25,100,100,35,50,International Business,Marketing & Finance
2,4,4,8,8,9,7,Business Economics,Finance
0,50,20,70,100,0,0,Business Economics,NA
10,10,20,0,70,15,50,Business Economics,NA
20,10,40,30,30,10,20,Business Economics,NA
0,50,60,70,80,60,80,Business Economics,Photography
75,50,80,90,80,80,80,Business Economics,Data Science
10,70,70,90,100,70,30,Business Economics,NA
2,2,10,45,80,70,80,Business Economics,Supply Chain Management
